구,위도,경도,위험점수_AHP,소방접근성_점수,노후도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m,주변노후도_매칭원본행번호,주변노후도_매칭거리_m
종로구,37.5705788,127.02004352,40.24,0.6275,0.1179,10,60.0,1.6992974632002564,4.0,16,13,0.8125,2,0.15384615384615385,2,0.15384615384615385,30.59758858526826,24.50650239561944,86.11088295687885,1995.2307692307693,37773.38,0.0033867766135834286,0.0033867766135834286,41.15924792716714,41.15924792716714,82,62,0.7560975609756098,34,0.5483870967741935,22,0.3548387096774194,45.748294363118504,38.73921971252567,89.65092402464066,1979.9516129032259,88637.38,0.07790516822586588,0.0192184155262712,41.15924792716714,41.15924792716714,36,0.000513571786682211
종로구,37.57389547,126.9897488,58.88,0.8135,0.5589,76,61.8,1.244643844056864,3.0,93,8,0.08602150537634409,7,0.875,5,0.625,50.818959616700894,58.98425735797399,64.87611225188228,1974.875,2016.34,0.9726732594701291,0.6378686134282909,19.76666799744549,19.76666799744549,281,57,0.20284697508896798,40,0.7017543859649122,31,0.543859649122807,46.74212567695763,54.09719370294319,98.39561943874058,1978.982456140351,98053.88,0.2959444338153676,0.06793244693631707,19.76666799744549,19.76666799744549,37,0.00015156697125533376
종로구,37.56890164,127.00203539,52.51,0.5555,0.3384,19,63.2,0.9573707576176196,20.0,24,8,0.3333333333333333,8,1.0,8,1.0,66.72450376454483,64.6652977412731,96.87611225188228,1959.0,1966.48,1.0,1.0,22.26822748117017,22.26822748117017,78,28,0.358974358974359,27,0.9642857142857143,19,0.6785714285714286,58.970763664808835,58.25872689938399,96.87611225188228,1966.642857142857,33908.06,0.9931449926654609,0.365296628589191,22.26822748117017,22.26822748117017,38,0.00046187732644752724
종로구,37.56619998,126.99118829,48.34,0.7605,0.5589,24,83.3,0.7206876474967924,30.0,34,31,0.9117647058823529,31,1.0,25,0.8064516129032258,60.84122673378817,65.8507871321013,71.52087611225188,1964.774193548387,20836.909999999996,1.0,0.9355873783588835,3.5996518524394348,3.5996518524394348,133,103,0.7744360902255639,100,0.970873786407767,81,0.7864077669902912,59.259451233694186,62.26420260095825,90.7624914442163,1966.4174757281553,76502.31,0.9054278230291346,0.7492890083972629,3.5996518524394348,3.5996518524394348,39,0.00040777110182528537
종로구,37.56915801,126.9800544,57.82,0.4515,0.508,0,0.0,2.597384633214691,25.0,3,3,1.0,3,1.0,2,0.6666666666666666,53.55783709787817,54.959616700889804,65.21834360027378,1972.3333333333333,12234.3,1.0,0.0689087238338115,40.14963238458712,40.14963238458712,18,12,0.6666666666666666,10,0.8333333333333334,4,0.3333333333333333,44.05361624458134,40.56536618754278,66.29979466119096,1981.6666666666667,248542.03999999998,0.49503701667532785,0.06401255095516235,40.14963238458712,40.14963238458712,40,0.00022290398429362302
종로구,37.57248011,127.01971336,41.12,0.694,0.2705,27,44.4,0.3035351275471273,7.0,39,19,0.48717948717948717,18,0.9473684210526315,10,0.5263157894736842,47.226773298749954,51.493497604380565,67.45790554414785,1978.4736842105262,8888.77,0.9853095535152783,0.26653406489311793,2.4306653505194733,8.805236788286923,129,68,0.5271317829457365,62,0.9117647058823529,34,0.5,47.76623585779281,48.98699520876113,69.52498288843258,1978.0294117647059,54887.93000000001,0.9743300576283347,0.23423565071592237,2.4306653505194733,8.805236788286923,41,0.0004623952147198858
종로구,37.57203715,127.00395269,46.04,0.582,0.1009,37,59.5,0.6931471805599453,4.0,46,23,0.5,15,0.6521739130434783,10,0.43478260869565216,42.14766538701901,37.229295003422315,65.81793292265571,1983.6521739130435,12047.449999999997,0.48332053671108843,0.2765083067371104,2.2937964163271167,2.2937964163271167,127,73,0.5748031496062992,56,0.7671232876712328,29,0.3972602739726027,44.864635781459505,42.70225872689939,87.28542094455852,1980.876712328767,39475.1,0.6878427160412514,0.23010302697143264,2.2937964163271167,2.2937964163271167,42,0.00019920089354172614
종로구,37.57059843,127.01860129,30.94,0.657,0.0924,11,54.5,0.8746092615811812,20.0,16,14,0.875,11,0.7857142857142857,4,0.2857142857142857,42.54463674586878,40.053388090349074,67.58110882956879,1983.142857142857,8277.43,0.4805005901590227,0.04026008072553921,29.392869112595918,33.1299120052173,115,70,0.6086956521739131,63,0.9,37,0.5285714285714286,50.62129656790849,51.71937029431896,76.1615331964408,1975.1142857142856,59814.149999999994,0.33291637513865874,0.19195257309516228,29.392869112595918,33.1299120052173,43,0.0006298399971276989
종로구,37.57297519,126.99797784,23.19,0.737,0.1009,5,60.0,1.0632729222228008,28.0,8,8,1.0,3,0.375,1,0.125,27.422655715263517,15.392197125256674,55.4715947980835,1998.0,63282.77,0.2772881149165879,0.035303132274393176,35.64279530238445,45.486664693448674,64,43,0.671875,29,0.6744186046511628,12,0.27906976744186046,39.41785651751747,40.35318275154004,75.31827515400411,1986.2093023255813,103255.73999999999,0.46728055989913997,0.0547739040948232,35.64279530238445,45.486664693448674,491,0.00015724897114448793
종로구,37.56923344,126.98879056,25.78,0.804,0.0924,21,71.4,0.9408455369813622,14.0,26,16,0.6153846153846154,10,0.625,6,0.375,41.86242299794661,42.52429842573579,87.28542094455852,1983.8125,16675.65,0.4028226785762474,0.29328272061358923,2.377422706267413,16.449704731507083,91,51,0.5604395604395604,38,0.7450980392156863,23,0.45098039215686275,46.2376830266672,43.2498288843258,87.28542094455852,1979.5098039215686,96524.61,0.36729721052486003,0.13573471055723507,2.377422706267413,16.449704731507083,46,0.0005511089855388235
