좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
8.0,199893.409361955,552037.9379629096,1934199788964517068800000000,제1종근린생활시설,2.0,1.0,3,43.38
8.0,199893.409361955,552037.9379629096,1940199807844517088300000000,제1종근린생활시설,2.0,0.0,2,28.73
8.0,199893.409361955,552037.9379629096,1932199818374517096200000000,제2종근린생활시설,2.0,1.0,3,23.74
8.0,199893.409361955,552037.9379629096,1961199797514517096700000000,제1종근린생활시설,2.0,1.0,3,34.97
8.0,199893.409361955,552037.9379629096,2006199829504517119400000000,제2종근린생활시설,3.0,0.0,3,21.55
8.0,199893.409361955,552037.9379629096,1979199858674517126000000000,제1종근린생활시설,2.0,0.0,2,40.26
8.0,199893.409361955,552037.9379629096,1966199866374517130200000000,제2종근린생활시설,3.0,1.0,4,46.91
8.0,199893.409361955,552037.9379629096,1960199786984517140500000000,제1종근린생활시설,2.0,0.0,2,41.29
8.0,199893.409361955,552037.9379629096,0000199807414517175600000000,,1.0,0.0,1,22.33
8.0,199893.409361955,552037.9379629096,1985199842664517193100000000,제1종근린생활시설,2.0,1.0,3,23.15
8.0,199893.409361955,552037.9379629096,0000199820624517210700000000,,1.0,0.0,1,12.08
8.0,199893.409361955,552037.9379629096,1960199830124517232600000000,제2종근린생활시설,2.0,0.0,2,11.39
8.0,199893.409361955,552037.9379629096,1969199869794517235300000000,공동주택,6.0,1.0,7,46.9
8.0,199893.409361955,552037.9379629096,1969199797484517268300000000,제2종근린생활시설,5.0,1.0,6,26.97
8.0,199893.409361955,552037.9379629096,1977199778644517246300000000,업무시설,6.0,1.0,7,45.88
8.0,199893.409361955,552037.9379629096,1966199811724517289300000000,창고시설,3.0,0.0,3,12.67
8.0,199893.409361955,552037.9379629096,1934199842084517349400000000,단독주택,2.0,0.0,2,18.42
8.0,199893.409361955,552037.9379629096,1969199871534517387100000000,공동주택,6.0,1.0,7,48.1
8.0,199893.409361955,552037.9379629096,1960199797304517428800000000,제1종근린생활시설,4.0,0.0,4,28.38
8.0,199893.409361955,552037.9379629096,1968199780664517435400000000,제2종근린생활시설,4.0,1.0,5,44.48
8.0,199893.409361955,552037.9379629096,2002199840464517449600000000,제1종근린생활시설,4.0,0.0,4,20.67
8.0,199893.409361955,552037.9379629096,1977199863994517531800000000,제2종근린생활시설,4.0,1.0,5,45.1
8.0,199893.409361955,552037.9379629096,1947199796134517576900000000,,1.0,0.0,1,37.26
8.0,199893.409361955,552037.9379629096,1973199843834517581000000000,제1종근린생활시설,3.0,0.0,3,32.32
8.0,199893.409361955,552037.9379629096,1947199801894517584800000000,,1.0,0.0,1,33.81
8.0,199893.409361955,552037.9379629096,0000199839904517664800000000,단독주택,1.0,0.0,1,37.39
8.0,199893.409361955,552037.9379629096,1947199797994517671100000000,제1종근린생활시설,3.0,0.0,3,42.99
8.0,199893.409361955,552037.9379629096,1988199818374517704100000000,제1종근린생활시설,2.0,1.0,3,38.07
8.0,199893.409361955,552037.9379629096,1991199834204517747700000000,제1종근린생활시설,5.0,1.0,6,43.3
9.0,199177.06429675664,552360.6268234181,1966199120034520391300000000,제1종근린생활시설,6.0,0.0,6,20.59
9.0,199177.06429675664,552360.6268234181,1966199128734520403100000000,제1종근린생활시설,7.0,1.0,8,26.11
