구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
종로구,창신동,스테리 하우스,2,고위험군,37.57250631,127.0115171,201017.4218,452551.4959,48.8998127,40.91471694706371,7.985095752936289,3.8845674748567807
종로구,동숭동,모드의집,2,고위험군,37.58046511,127.004045,200357.295,453434.7763,32.23794208,40.09166974831149,-7.853727668311485,3.8845674748567807
종로구,충신동,오하이서울,2,고위험군,37.57285097,127.0072964,200644.5574,452589.7118,42.14006162,40.673289768763055,1.4667718512369419,3.8845674748567807
종로구,동숭동,플라워니 스테이,2,고위험군,37.57730218,127.0054439,200480.8817,453083.7336,38.33716347,39.320748872146915,-0.9835854021469146,3.8845674748567807
종로구,명륜3가,제이스테이,2,고위험군,37.5879836,126.9937221,199445.5294,454269.254,46.95778089,40.76931194195082,6.188468948049184,3.8845674748567807
종로구,동숭동,스테이 대학로,2,고위험군,37.57760901,127.0054704,200483.2241,453117.7883,41.4194828,40.33584041727465,1.083642382725344,3.8845674748567807
종로구,연건동,종로 인사이드,2,고위험군,37.57351439,126.998769,199891.2577,452663.3194,50.97011135,45.232971249850344,5.737140100149659,3.8845674748567807
종로구,연건동,바우하우스#3,2,고위험군,37.5741174,126.9984071,199859.2847,452730.247,29.02528386,39.94900823386111,-10.92372437386111,3.8845674748567807
종로구,사직동,솔라하우스,2,고위험군,37.57022261,126.966697,197057.9256,452298.4907,47.33542371,39.803603228748216,7.531820481251785,3.8845674748567807
종로구,명륜1가,스테이 혜래,2,고위험군,37.58625433,126.9969301,199728.8526,454077.3105,38.93060945,43.49085467915815,-4.560245229158149,3.8845674748567807
종로구,연건동,리리하우스(LI LI HOUSE),2,고위험군,37.57378848,126.9993475,199942.3557,452693.7397,47.47162666,51.356442408566835,-3.8848157485668366,3.8845674748567807
종로구,필운동,윤스테이,2,고위험군,37.57371059,126.969278,197286.0626,452685.5383,40.11114409,39.89962540193597,0.2115186880640323,3.8845674748567807
종로구,창신동,창신동숙,2,고위험군,37.57372994,127.0113029,200998.4839,452687.3023,37.21380932,40.81869477387595,-3.6048854538759443,3.8845674748567807
종로구,숭인동,부엉이 게스트하우스(OWL Guesthouse),2,고위험군,37.57264698,127.01936,201710.2576,452567.2224,31.76487435,40.09166974831149,-8.32679539831149,3.8845674748567807
종로구,체부동,한스하우스(Hans house),2,고위험군,37.57471511,126.969672,197320.911,452797.0171,34.96165997,41.10676129343923,-6.145101323439228,3.8845674748567807
종로구,필운동,게스트하우스 필운,2,고위험군,37.57419892,126.9675447,197132.9705,452739.7888,34.54451635,40.91471694706371,-6.3702005970637074,3.8845674748567807
종로구,소격동,쥘리앵,2,고위험군,37.57798512,126.9802125,198252.1046,453159.7022,51.18970741,41.39757130366501,9.792136106334986,3.8845674748567807
종로구,숭인동,킴스패밀리하우스,2,고위험군,37.5734284,127.0213203,201883.4058,452653.9885,31.35018283,39.658198223635324,-8.308015393635323,3.8845674748567807
종로구,창신동,코비게스트하우스,2,고위험군,37.57042698,127.013348,201179.189,452320.7358,44.48160852,41.39757130366501,3.084037216334991,3.8845674748567807
종로구,창신동,낙산발코니,2,고위험군,37.57637942,127.0092453,200816.6837,452981.3441,36.3936514,40.86807760580108,-4.47442620580108,3.8845674748567807
종로구,창신동,하이얀(Haiyan),2,고위험군,37.57476996,127.0128206,201132.5394,452802.7497,37.27620449,40.33584041727465,-3.0596359272746554,3.8845674748567807
종로구,팔판동,팔판동 레지던스,2,고위험군,37.58023347,126.9796263,198200.3715,453409.2543,64.41075129,54.330386286724845,10.080365003275148,3.8845674748567807
종로구,옥인동,디 하우스,2,고위험군,37.58024857,126.9647079,196882.6187,453411.3207,45.1733403,49.559456024624495,-4.386115724624496,3.8845674748567807
종로구,창신동,종로랑,2,고위험군,37.57412784,127.0088992,200786.1354,452731.4418,41.69800265,41.010739120251465,0.6872635297485346,3.8845674748567807
