구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_단속위험도,bw_intercept,bw_단속위험도
성동구,성동,어반 성수,2,고위험군,37.53299683,127.0557905,204931.1239,448167.8167,42.0088006,-4.079163244112273,44.49756281412984,-1.4981638296038065,46.0,165.0
성동구,행당동,앨리 하우스(Alley House),2,고위험군,37.55474963,127.0303512,202681.8541,450581.0839,41.11920241,-1.1454705753003225,41.976523561200906,-0.2714378553387121,46.0,165.0
성동구,하왕십리동,다색,2,고위험군,37.56070015,127.029016,202563.6699,451241.4837,39.59804782,-3.2294598881249215,43.00602122637721,0.3034310324615064,46.0,165.0
성동구,도선동,Light house 왕십리,2,고위험군,37.55970399,127.0337849,202985.0672,451131.0625,45.25451407,2.888878833802025,42.35724536397848,0.23815963830000236,46.0,165.0
성동구,홍익동,서울 써니 스테이(Seoul Sunny Stay),2,고위험군,37.56368262,127.0303719,202683.3645,451572.5406,39.73024067,-3.7103220505497987,43.260270294322574,0.5409020321459237,46.0,165.0
성동구,도선동,코지서울,2,고위험군,37.56115698,127.0317607,202806.1637,451292.2648,44.34867597,1.709508947790873,42.64252698940633,0.37138441038321746,46.0,165.0
성동구,성동,리프레시 성수,2,고위험군,37.53664679,127.0462248,204085.4484,448572.4588,45.17788074,-1.3184295930235947,44.91458379060313,-1.4899924292710045,46.0,165.0
성동구,성동,크림 하우스 성수,2,고위험군,37.53581902,127.051638,204563.9277,448480.8355,37.66467364,-3.998271571082661,44.73191633544923,-1.486015268127687,46.0,165.0
성동구,성동,노스타노바(NOSTANOVA),2,고위험군,37.54742489,127.0257821,202278.3501,449768.0051,29.16972306,-13.04327575457442,43.170345108629725,-0.691804520119709,46.0,165.0
성동구,하왕십리동,YH STAY,2,고위험군,37.56132099,127.026377,202330.4875,451310.3209,51.78142876,8.310244537576452,43.74050646113711,0.26923760788839723,46.0,165.0
성동구,성동,성수리버,2,고위험군,37.53772154,127.0593995,205249.7823,448692.3969,36.75666209,-6.944472350107063,44.732592307610496,-1.4415688424860653,46.0,165.0
성동구,성동,린스테이(LYNN STAY),2,고위험군,37.54280248,127.0482425,204263.4293,449255.7549,46.24981546,3.612713723096263,45.11135681952537,-1.387692483146867,46.0,165.0
성동구,응봉동,캄스테이 응봉,2,고위험군,37.54950772,127.0291947,202579.8516,449999.2623,47.4611473,4.6621781279335295,42.595578437878956,-0.714388830634737,46.0,165.0
성동구,송정동,Laszlo & Co.,2,고위험군,37.54731654,127.0657349,205808.97,449757.6979,36.13748857,-6.7238481265319905,44.48364507008595,-1.3495995445521842,46.0,165.0
성동구,성동,코지 뚝섬(Cozy Ttukseom),2,고위험군,37.54350544,127.0461728,204080.4761,449333.6831,38.33659794,-4.590122437250422,45.173125719985514,-1.3755425872529106,46.0,165.0
성동구,성동,마이 리틀 서울,2,고위험군,37.54904299,127.0206984,201829.0649,449947.4836,47.04283799,4.106557998314422,43.079515308885604,-0.21967360585750254,46.0,165.0
성동구,하왕십리동,Wevvy Loft 왕십리,2,고위험군,37.55865523,127.0288537,202549.3998,451014.5174,38.23232365,-4.213609997013897,42.55332644645807,0.11398036218401772,46.0,165.0
마포구,연남동,주니스 게스트하우스,2,고위험군,37.56149159,126.919013,192844.5664,451332.0113,50.94914232,7.110087638022399,43.88129614665152,0.2032394530122691,46.0,165.0
마포구,동교동,진스파라다이스,2,고위험군,37.55551437,126.9236287,193251.8379,450668.2692,30.61340226,-5.327896598763118,35.65391292076167,1.6260896311400512,46.0,165.0
마포구,연남동,헬로월드 게스트하우스,2,고위험군,37.56096556,126.9228864,193186.7429,451273.3403,36.62713848,-9.427742270188318,46.05510271085492,0.0002942295875374007,46.0,165.0
마포구,합정동,홍대 게스트하우스 Hi :Dear,2,고위험군,37.54562637,126.9174338,192703.4867,449571.2825,40.7850036,-4.082197555787097,40.16533221718052,1.3175020462533384,46.0,165.0
마포구,연남동,스윗루나,2,고위험군,37.55818261,126.923767,193264.2929,450964.4023,42.64686994,-0.6187099140097345,43.649092770459575,-0.2823464363231199,46.0,165.0
마포구,서교동,Lee House 2,2,고위험군,37.55310859,126.927478,193591.7559,450400.987,33.97208471,-4.5032761792110705,39.65272826131184,2.018446267174662,46.0,165.0
마포구,염리동,브리지 스테이 마포,2,고위험군,37.54677382,126.9473364,195346.1066,449696.7352,32.75038715,-8.009230098723052,40.238734583174626,-0.9350296308124679,46.0,165.0
