구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_도로폭위험도,bw_intercept,bw_도로폭위험도
중구,(광희동,그리다 DDP,2,고위험군,37.56298903,127.0053967,200476.8053,451495.1403,50.2522974,6.028842391690574,42.28173684737911,2.1533069655326447,43.0,125.0
중구,산림동,광신장여관,2,고위험군,37.56514549,126.9966723,199706.0016,451734.4736,55.19424843,13.20504179139715,39.00216726125899,3.3125367146347875,43.0,125.0
중구,명동,아트래블홈(ARTRAVEL HOME),2,고위험군,37.55881514,126.9832162,198517.0534,451032.0066,42.67144237,3.232335644779859,40.11145929699994,-0.745618754172626,43.0,125.0
중구,을지로3가,지요크 을지로,2,고위험군,37.56285139,126.9899303,199110.3283,451479.8979,33.02704275,-4.7003736633809865,38.261147954156414,1.6182099985938552,43.0,125.0
중구,(남산동,(주)더로드서울,2,고위험군,37.55615138,126.9832058,198516.0737,450736.361,51.80667462,4.134828601721935,44.87202732910066,-0.9738279776585699,43.0,125.0
중구,명동,하이 서울 호스텔 명동 센트럴,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.93704142,-6.1453743178124185,40.76225473052344,-0.9706897636257427,43.0,125.0
중구,남대문로5가,한블레싱(Hanblessing),2,고위험군,37.55159894,126.9741552,197716.2329,450231.2759,46.25973879,3.107641389245714,41.75969999500797,1.544126790855469,43.0,125.0
중구,(광희동,넘버25호텔 동대문점,2,고위험군,37.56249772,127.0061175,200540.4915,451440.6146,48.62374821,5.664824318755549,42.343763593801114,2.1512509173401595,43.0,125.0
중구,명동,슬립박스(SLEEP BOX),2,고위험군,37.55921779,126.9847031,198648.4373,451076.6735,27.17299352,-12.99546210099907,40.02006014970324,-0.44991726561273837,43.0,125.0
중구,황학동,인득여관,2,고위험군,37.56523964,127.0204086,201803.0656,451745.1137,36.33265081,-5.015844776583116,39.68634635838544,1.8432734383644571,43.0,125.0
중구,신당동,한일여관,2,고위험군,37.56128515,127.0096517,200852.7596,451306.0598,49.06440075,7.619672513977093,42.15369569522016,2.149504279780606,43.0,125.0
중구,주교동,트래블러스 A 코리아 호스텔,2,고위험군,37.56562443,126.9981173,199833.6663,451787.6267,26.98081157,-4.47979428918736,39.258824601162054,3.164164305960998,43.0,125.0
중구,신당동,J모텔,2,고위험군,37.56126414,127.0133052,201175.5546,451303.7674,51.3624778,10.711161587971773,41.40614045254303,2.2885365391887227,43.0,125.0
중구,신당동,조이풀스테이(Joyful Stay),2,고위험군,37.56245881,127.0165259,201460.0902,451436.4068,32.59265257,-5.814038413309767,40.82104784572118,2.553223085183094,43.0,125.0
중구,신당동,타임스테이,2,고위험군,37.56254877,127.0182782,201614.907,451446.42,37.1456537,-2.0922793413603955,40.21551826214187,2.963921106194801,43.0,125.0
