구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_구조노후도,bw_intercept,bw_구조노후도
중구,(남산동,보로인 명동,2,고위험군,37.55514884,126.984327,198615.1244,450625.0739,45.03249828,3.346516776314367,43.460007800049596,4.289914455200152,43.0,435.0
중구,명동,호텔 28,2,고위험군,37.56160377,126.9831825,198514.1268,451341.5121,35.59843851,-0.28052546586749116,36.8736084900125,4.147882218793012,43.0,435.0
중구,(남산동,오요 5 롯지B (OYO 5 Lodge B),2,고위험군,37.55646209,126.9842423,198607.6709,450770.8303,41.77523918,-0.8074728786312235,43.131091623521385,4.277276759011,43.0,435.0
용산구,서계동,스테이터울,2,고위험군,37.55142339,126.9655309,196954.1424,450212.0365,42.95662447,3.1511357887081175,41.504609592226736,4.509236657731093,43.0,435.0
용산구,이태원동,H호스텔,2,고위험군,37.52931063,126.9937982,199451.814,447757.2496,44.34334328,6.241300478211329,40.408554260457066,4.488928872572534,43.0,435.0
용산구,한남동,서울미라마(유)그랜드하얏트서울,2,고위험군,37.5367936,126.9970254,199737.097,448587.753,39.17078529,-3.935473952757235,40.84574778647982,4.467340673673465,43.0,435.0
성동구,성동,스윗스팟성수,2,고위험군,37.54745731,127.052317,204623.2283,449772.5772,40.61094366,-2.485529854737429,45.15649096994005,4.11091144633991,43.0,435.0
마포구,동교동,비아르떼 서울,2,고위험군,37.554874,126.9280682,193644.0584,450596.8864,46.83425488,-1.7909742192641858,42.853235297225254,4.544251030666677,43.0,435.0
마포구,노고산동,코코스테이,2,고위험군,37.55210431,126.9334754,194121.6196,450289.132,38.7656671,2.5037350736415718,38.75752313248624,5.102379916098274,43.0,435.0
강서구,화곡동,해담채스테이,2,고위험군,37.52728435,126.8398255,185841.6526,447544.3947,31.96512779,-9.504583048908817,40.7702000406934,3.6351140106972246,43.0,435.0
종로구,홍지동,씨케이 인 종로점,2,고위험군,37.5978767,126.958618,196345.5571,455368.0638,46.79405893,2.496803616930933,45.07947047251338,3.636909845873123,43.0,435.0
종로구,숭인동,서울 게스트하우스,2,고위험군,37.57188149,127.0156094,201378.9422,452482.2003,50.03752853,-2.0495004256881657,38.4765756434121,4.230374046441826,43.0,435.0
종로구,관철동,어 베터 플레이스 (A BETTER PLACE),2,고위험군,37.56691314,126.9855653,198724.7407,451930.7547,42.10691938,-4.473098471722729,36.0021498448433,4.002019737871241,43.0,435.0
종로구,숭인동,동미,2,고위험군,37.5726296,127.0200052,201767.2557,452565.3054,34.93091504,-1.2586950865782072,36.72990594417152,4.214224766099012,43.0,435.0
종로구,익선동,SAE WHA HOSTEL,2,고위험군,37.57198435,126.9895391,199075.8816,452493.5534,39.77307222,3.1759336636465036,37.36369759693413,4.026934128840051,43.0,435.0
종로구,창신동,순안,2,고위험군,37.5681032,127.010761,200950.6822,452062.794,36.75775525,-0.43259899217705566,38.05479415793141,4.25684534890227,43.0,435.0
